NOC,Gold,Silver,Bronze,Total,Weighted Score,GDP (PPP),Population,HDI,Total Score
Greece,0.020833333,0.026315789,0.277007996,0.119158534,0.867612478,426749000000.0,10361295.0,0.893,6.723110857437326
Dominican Republic,0.020833333,0.0,0.076923077,0.04535809,0.362179484,290243000000.0,11332972.0,0.766,6.520627019530877
Portugal,0.045454545,0.066287879,0.033333333,0.053866249,0.786363632,513204000000.0,10525347.0,0.874,5.88585266822361
Zambia,0.0,0.0,0.020408163,0.006896552,0.040816326,84863032638.0,20569737.0,0.569,5.851316743614827
Belgium,0.111742424,0.020833333,0.252605133,0.144363898,1.705967838,832972000000.0,11822592.0,0.942,5.643725382118202
Chile,0.066666667,0.055555556,0.0,0.036111111,0.888888894,653361000000.0,19629590.0,0.86,5.468743443873532
Turkey,0.0,0.220512821,0.356517094,0.205608974,1.595085472,3767230000000.0,85326000.0,0.855,5.075396800140595
Malaysia,0.0,0.0,0.4,0.133333333,0.8,1277910000000.0,34308525.0,0.807,3.827802383055316
Albania,0.0,0.0,0.055555556,0.027777778,0.111111112,58750963483.0,2745972.0,0.789,3.7209976489413417
Cyprus,0.0,0.1,0.0,0.033333333,0.4,53033142805.0,1260138.0,0.907,3.6650157632914455
Panama,0.0,0.076923077,0.0,0.019230769,0.307692308,177361000000.0,4468087.0,0.82,3.4059371070965643
Peru,0.0,0.0,0.1,0.033333333,0.2,574288000000.0,34352719.0,0.762,2.435547025895738
Puerto Rico,0.0,0.0,0.048185941,0.020785441,0.096371882,152910000000.0,3205691.0,0.88,1.1881119272496927
Slovakia,0.0,0.0,0.058823529,0.020408163,0.117647058,242305000000.0,5426740.0,0.855,1.1776403191951965
Singapore,0.0,0.0,0.1,0.033333333,0.2,837348000000.0,5917648.0,0.949,0.7859350532352924
Qatar,0.0,0.0,0.020408163,0.006896552,0.040816326,337520000000.0,2716391.0,0.875,0.4596345487131759
